	file_name	misogynous	SVM PROB 1	KNN PROB 1	NB PROB 1	DT PROB 1	MLP PROB 1
0	belong_19	1	0.6327695100447713	0.5507246376811594	0.6191765851251737	0.6192239221858149	0.5362653390261533
1	belong_21	1	0.7232767226776655	0.8260869565217391	0.7930087251004012	0.768407238129188	0.555291200446661
2	belong_26	1	0.6983799484477419	0.650103519668737	0.7579580842371955	0.5501943634596695	0.6390337549833424
3	belong_30	1	0.6051730896630796	0.6956521739130435	0.7315704890603575	0.5409116448939457	0.9547057114383196
4	belong_31	0	0.30832642257252973	0.5031055900621118	0.3192237955056049	0.28368481968305104	0.19204364947401326
5	belong_43	0	0.49635271074980114	0.38819875776397506	0.1677867957769658	0.28368481968305104	0.7872864782169997
6	belong_44	0	0.5237505422241786	0.4989648033126294	0.24004477774808	0.5276455109328989	0.677317013612009
7	belong_48	0	0.2998463317457482	0.520703933747412	0.06758982965634626	0.5276455109328989	0.5041602503415119
8	blonde_2	1	0.8577539293197542	0.8633540372670807	0.9124897313249869	0.7502768549280177	0.9532813555806616
9	blonde_7	0	0.2550908743735732	0.6480331262939959	0.560601551618259	0.2957036432767456	0.18844571008867161
10	chick_0	0	0.4778003466849141	0.48757763975155277	0.5386307601728167	0.4449823101931535	0.6014436191558261
11	chick_1	1	0.8889710008784939	0.7246376811594203	0.9894869196043066	0.8929072652392926	0.9478519975598767
12	chick_4	1	0.9102553556976223	0.8892339544513458	0.9375756363524859	0.7502768549280177	0.9963672389622902
13	chick_5	1	0.896163758607553	0.9109730848861284	0.9419618235675999	0.7559124548920467	0.9938206490150518
14	chick_6	1	0.7598023841755369	0.6573498964803313	0.8404004403402425	0.6356667497175487	0.96190707793454
15	chick_8	0	0.4876249758538712	0.5527950310559007	0.5106460678069112	0.6331826666946326	0.39952567756314644
16	chick_9	0	0.5390221847105684	0.5372670807453416	0.517347087254943	0.5921532918031249	0.49532232887824
17	chloroform_10	1	0.5235552705743161	0.6697722567287785	0.19220831359432697	0.44946675360323185	0.5815398502129274
18	chloroform_2	1	0.5472149075188655	0.6045548654244306	0.4759581834901444	0.3992309093007867	0.9903083045384724
19	chloroform_3	1	0.5695889677041973	0.650103519668737	0.7203892638413529	0.3452531573636368	0.8558961208517288
20	chloroform_4	1	0.665483813695036	0.7763975155279503	0.309567949090726	0.5754848556268499	0.9413832024627382
21	demotivational_0	1	0.854112785590496	0.8674948240165632	0.980478816418475	0.513916517946264	0.9980846579081387
22	demotivational_10	1	0.7745547109187072	0.6024844720496894	0.5222278413212137	0.3722564249672683	0.9819810567435963
23	demotivational_2	0	0.43455455300533125	0.5527950310559007	0.08275892289055814	0.24766610300852526	0.14617021809580288
24	demotivational_6	1	0.8341824520455516	0.7246376811594203	0.7970534579807325	0.6024881232304813	0.9453088044872888
25	dishwasher_10	0	0.5026791317668508	0.5848861283643892	0.2365222644323734	0.23871198539449656	0.6069114791665295
26	dishwasher_11	0	0.42487432867542485	0.6480331262939959	0.1624051561399044	0.4262341769044181	0.500852871793158
27	dishwasher_2	1	0.8309013134175944	0.8674948240165632	0.47839062061555127	0.6356667497175487	0.9789697356911724
28	dishwasher_3	1	0.5578031287957895	0.8043478260869565	0.7186670614487185	0.5501943634596695	0.50779838495739
29	dishwasher_5	0	0.5371627962352334	0.6304347826086957	0.541694693020896	0.4262341769044181	0.7798842964813968
30	dishwasher_6	1	0.4987734342819694	0.5610766045548654	0.5854000570984622	0.3452531573636368	0.5036706842332976
31	dishwasher_8	0	0.5490291509116352	0.6262939958592132	0.654158205466294	0.45330480728710815	0.4827600483944187
32	dishwasher_9	1	0.7670645824510509	0.8674948240165632	0.3861363478502098	0.41496593172055973	0.9905974370336499
33	diy_0	1	0.8767416946878342	0.8178053830227743	0.9988064599007376	0.8145949879474235	0.9612176763432637
