file_name	SVM PROB 0	SVM PROB 1	KNN PROB 0	KNN PROB 1	NB PROB 0	NB PROB 1	DT PROB 0	DT PROB 1	MLP PROB 0	MLP PROB 1	ground_truth	BMA PROB 0	BMA PROB 1	BMA LABELS
1.jpg	0.6332381764032285	0.36676182359677145	0.7142857142857143	0.2857142857142857	0.7108867575778112	0.2891132424221891	0.6912094064949608	0.3087905935050392	0.6901202431915883	0.3098797568084117	0	0.6716818764320308	0.3283181235679692	0
10000.jpg	0.713026961316367	0.286973038683633	0.6666666666666666	0.3333333333333333	0.8280797915985263	0.17192020840147368	0.629570747217806	0.37042925278219396	0.6557993414021605	0.34420065859783955	0	0.6827519097653015	0.3172480902346984	0
1001.jpg	0.6332381764032285	0.36676182359677145	0.7142857142857143	0.2857142857142857	0.7108867575778112	0.2891132424221891	0.6912094064949608	0.3087905935050392	0.6901202431915883	0.3098797568084117	1	0.6716818764320308	0.3283181235679692	0
10016.jpg	0.6332381764032285	0.36676182359677145	0.7142857142857143	0.2857142857142857	0.7108867575778112	0.2891132424221891	0.6912094064949608	0.3087905935050392	0.6901202431915883	0.3098797568084117	1	0.6716818764320308	0.3283181235679692	0
10028.jpg	0.715659104652534	0.28434089534746604	0.47619047619047616	0.5238095238095238	0.8322992659683184	0.16770073403168168	0.629570747217806	0.37042925278219396	0.6532583795153749	0.3467416204846251	0	0.6449884559228248	0.35501154407717506	0
10034.jpg	0.1960545872577992	0.8039454127422008	0.14285714285714285	0.8571428571428571	6.9424966346035155e-06	0.9999930575033654	0.214468085106383	0.7855319148936171	0.10707850873043823	0.8929214912695618	1	0.12462627974431224	0.8753737202556877	1
10036.jpg	0.7048906585008177	0.29510934149918233	0.6190476190476191	0.38095238095238093	0.8150510306216168	0.18494896937838348	0.6912094064949608	0.3087905935050392	0.6645204334245932	0.3354795665754068	1	0.6832053687175239	0.3167946312824761	0
10038.jpg	0.3029195261973684	0.6970804738026316	0.09523809523809523	0.9047619047619048	0.23599997187045374	0.7640000281295464	0.34275184275184273	0.6572481572481572	0.2845453816150191	0.7154546183849809	0	0.23931015076197387	0.7606898492380261	1
10040.jpg	0.3054329189364084	0.6945670810635918	0.42857142857142855	0.5714285714285714	0.23863272499917126	0.7613672750008287	0.47429171038824763	0.5257082896117523	0.4252934124799169	0.5747065875200831	1	0.3575094084162546	0.6424905915837454	1
10042.jpg	0.23795998173446398	0.7620400182655359	0.23809523809523808	0.7619047619047619	0.14401317973642758	0.8559868202635723	0.214468085106383	0.7855319148936171	0.19237514176940518	0.8076248582305948	1	0.193711807957723	0.8062881920422771	1
10045.jpg	0.6332381764032285	0.36676182359677145	0.7142857142857143	0.2857142857142857	0.7108867575778112	0.2891132424221891	0.6912094064949608	0.3087905935050392	0.6901202431915883	0.3098797568084117	0	0.6716818764320308	0.3283181235679692	0
10055.jpg	0.2830314546999185	0.7169685453000815	0.2857142857142857	0.7142857142857143	0.22473387315810028	0.7752661268418995	0.214468085106383	0.7855319148936171	0.22809440411929394	0.7719055958807061	1	0.23357886743314787	0.7664211325668522	1
10059.jpg	0.38948818779160027	0.6105118122083997	0.2857142857142857	0.7142857142857143	0.4174775827021322	0.582522417297868	0.34275184275184273	0.6572481572481572	0.41416106162345534	0.5858389383765447	1	0.3529100065429811	0.6470899934570189	1
10089.jpg	0.713350711959845	0.286649288040155	0.6190476190476191	0.38095238095238093	0.8285988177208043	0.1714011822791958	0.629570747217806	0.37042925278219396	0.6554470224154356	0.3445529775845644	1	0.6731710454292283	0.3268289545707717	0
